country,percentage
Austria,3.10%
Belgium,3.80%
Bulgaria,2.80%
Croatia,3.10%
Cyprus,3.10%
Czechia,3.00%
Denmark,3.60%
Estonia,4.00%
Finland,4.80%
France,4.30%
Germany,3.70%
Greece,5.90%
Hungary,3.00%
Ireland,4.40%
Italy,3.70%
Latvia,3.90%
Lithuania,4.30%
Luxembourg,3.40%
Malta,3.10%
Netherlands,3.70%
Poland,2.20%
Portugal,5.10%
Romania,2.70%
Slovakia,2.90%
Slovenia,3.40%
Spain,4.60%
Sweden,4.70%
