country,percentage
Austria,3.20%
Belgium,3.50%
Bulgaria,2.90%
Croatia,3.30%
Cyprus,3.20%
Denmark,3.80%
Estonia,4.40%
Finland,4.70%
France,4.20%
Germany,3.60%
Greece,5.90%
Hungary,3.10%
Ireland,4.40%
Italy,4.00%
Latvia,4.10%
Lithuania,4.40%
Luxembourg,3.60%
Malta,3.20%
Netherlands,3.70%
Poland,2.20%
Portugal,5.20%
Romania,2.80%
Slovakia,3.00%
Slovenia,3.60%
Spain,4.10%
Sweden,4.60%
