country,percentage
Austria,3.50%
Belgium,3.40%
Bulgaria,3.10%
Croatia,3.50%
Cyprus,3.20%
Denmark,4.40%
Estonia,4.80%
Finland,5.00%
France,4.40%
Germany,3.30%
Greece,5.20%
Hungary,3.50%
Ireland,4.20%
Italy,4.20%
Latvia,4.50%
Lithuania,4.50%
Luxembourg,4.00%
Malta,3.30%
Netherlands,3.70%
Poland,2.40%
Portugal,5.10%
Romania,2.80%
Slovakia,3.10%
Slovenia,3.90%
Spain,4.00%
Sweden,4.60%
