country,percentage
Austria,3.10%
Belgium,3.70%
Bulgaria,2.80%
Croatia,3.10%
Cyprus,3.20%
Czechia,3.00%
Denmark,3.60%
Estonia,3.80%
Finland,4.40%
France,4.10%
Germany,3.70%
Greece,5.00%
Hungary,3.00%
Ireland,4.20%
Italy,3.80%
Latvia,3.90%
Lithuania,4.20%
Luxembourg,3.40%
Malta,3.20%
Netherlands,3.60%
Poland,2.20%
Portugal,4.60%
Romania,2.70%
Slovakia,2.80%
Slovenia,3.30%
Spain,4.90%
Sweden,4.50%
