country,percentage
Austria,3.60%
Belgium,4.30%
Bulgaria,3.50%
Croatia,3.50%
Cyprus,3.70%
Czechia,3.50%
Denmark,4.20%
Estonia,4.60%
Finland,5.20%
France,4.80%
Germany,4.20%
Greece,6.30%
Hungary,3.40%
Ireland,5.20%
Italy,4.50%
Latvia,4.90%
Lithuania,5.40%
Luxembourg,3.90%
Malta,3.70%
Netherlands,4.40%
Poland,2.70%
Portugal,5.80%
Romania,3.30%
Slovakia,3.40%
Slovenia,3.70%
Spain,5.50%
Sweden,5.10%
