country,percentage
Austria,3.50%
Belgium,4.60%
Bulgaria,3.20%
Croatia,3.40%
Cyprus,3.60%
Czechia,3.30%
Denmark,4.10%
Estonia,4.10%
Finland,5.00%
France,4.80%
Germany,4.00%
Greece,5.90%
Hungary,3.20%
Ireland,5.20%
Italy,4.60%
Latvia,4.20%
Lithuania,4.70%
Luxembourg,3.90%
Malta,3.70%
Netherlands,4.40%
Poland,2.60%
Portugal,5.60%
Romania,3.10%
Slovakia,3.10%
Slovenia,3.70%
Spain,5.80%
Sweden,5.20%
