country,percentage
Austria,3.30%
Belgium,3.40%
Bulgaria,3.00%
Croatia,3.40%
Cyprus,3.20%
Denmark,4.00%
Estonia,4.80%
Finland,5.20%
France,4.50%
Germany,3.30%
Greece,6.50%
Hungary,3.30%
Ireland,4.30%
Italy,4.10%
Latvia,4.30%
Lithuania,4.60%
Luxembourg,3.80%
Malta,3.20%
Netherlands,3.70%
Poland,2.40%
Portugal,5.70%
Romania,2.80%
Slovakia,3.00%
Slovenia,3.80%
Spain,4.00%
Sweden,4.60%
