Country/area,Ages 5-14,Ages 15-19,Ages 20-24,Ages 25-29,Ages 30-34,Ages 35-39,Ages 40-44,Ages 45-49,Ages 50-54,Ages 55-59,Ages 60-64,Ages 65-69,Ages 70+,All ages
Austria,0.68%,3.54%,5.09%,5.68%,6.14%,6.65%,7.23%,8.00%,8.76%,9.50%,10.17%,10.63%,11.21%,4.04%
Belgium,0.84%,5.09%,7.95%,8.40%,8.72%,9.19%,9.50%,9.58%,9.57%,9.52%,9.70%,10.19%,10.95%,5.60%
Croatia,0.52%,2.89%,4.55%,5.30%,5.84%,6.20%,6.61%,7.04%,7.38%,7.68%,7.94%,8.15%,8.48%,5.78%
Cyprus,1.82%,7.46%,9.15%,9.37%,9.74%,10.53%,10.99%,10.94%,10.80%,10.64%,10.32%,9.66%,8.42%,6.46%
Czechia,0.67%,3.15%,4.31%,4.88%,5.29%,5.65%,5.94%,6.13%,6.27%,6.38%,6.67%,7.27%,8.37%,3.44%
Denmark,0.55%,2.80%,3.99%,4.61%,5.06%,5.43%,5.72%,5.96%,6.17%,6.35%,6.72%,7.35%,8.26%,2.63%
Estonia,0.56%,3.22%,4.76%,4.85%,4.87%,4.98%,5.24%,5.65%,5.97%,6.28%,6.60%,6.94%,7.55%,3.93%
Finland,0.59%,3.28%,4.91%,5.30%,5.63%,6.09%,6.47%,6.83%,7.14%,7.44%,7.58%,7.45%,7.18%,3.99%
France,0.65%,3.57%,5.15%,5.32%,5.55%,6.10%,6.58%,6.90%,7.18%,7.41%,7.50%,7.38%,7.17%,4.47%
Germany,0.55%,3.01%,4.33%,4.38%,4.40%,4.56%,4.89%,5.42%,5.87%,6.28%,6.58%,6.75%,7.01%,3.56%
Greece,0.54%,2.63%,3.79%,3.90%,4.01%,4.30%,4.69%,5.17%,5.58%,5.95%,6.25%,6.44%,6.90%,4.53%
Hungary,0.55%,2.60%,3.56%,3.80%,3.94%,4.09%,4.39%,4.86%,5.24%,5.55%,5.80%,5.99%,6.30%,3.52%
Ireland,1.27%,5.49%,7.19%,7.84%,8.48%,9.28%,9.51%,9.00%,8.46%,8.01%,7.42%,6.91%,6.07%,4.48%
Italy,1.33%,5.38%,6.61%,6.95%,7.35%,8.08%,8.48%,8.33%,8.12%,7.90%,7.53%,7.06%,6.02%,5.77%
Latvia,0.72%,4.04%,5.76%,5.44%,5.28%,5.56%,5.85%,6.16%,6.40%,6.61%,6.61%,6.31%,5.75%,4.17%
Lithuania,1.36%,5.58%,7.15%,7.70%,7.99%,8.09%,7.96%,7.51%,7.05%,6.60%,6.26%,6.06%,5.68%,5.86%
Luxembourg,0.53%,3.52%,5.51%,5.33%,5.34%,5.86%,6.28%,6.52%,6.71%,6.88%,6.81%,6.37%,5.65%,4.59%
Malta,1.18%,5.62%,7.75%,7.67%,7.56%,7.66%,7.62%,7.31%,6.98%,6.62%,6.32%,6.03%,5.59%,5.73%
Netherlands,1.21%,4.39%,5.40%,5.46%,5.68%,6.37%,6.71%,6.51%,6.29%,6.06%,5.86%,5.62%,5.17%,5.05%
Poland,0.55%,3.39%,5.12%,4.80%,4.63%,4.90%,5.15%,5.33%,5.46%,5.56%,5.53%,5.26%,4.81%,3.57%
Portugal,0.48%,2.51%,3.79%,4.11%,4.36%,4.62%,4.92%,5.17%,5.29%,5.31%,5.35%,5.20%,4.79%,3.64%
Romania,0.44%,2.44%,3.59%,3.71%,3.85%,4.12%,4.46%,4.76%,4.95%,5.08%,5.13%,5.01%,4.68%,2.98%
Slovakia,0.49%,2.52%,3.69%,3.73%,3.80%,4.06%,4.37%,4.64%,4.77%,4.85%,4.86%,4.73%,4.39%,3.27%
Slovenia,0.57%,2.59%,3.20%,3.19%,3.33%,3.82%,4.31%,4.66%,4.86%,4.98%,4.99%,4.80%,4.30%,3.19%
Spain,0.59%,2.99%,4.05%,3.85%,3.87%,4.34%,4.74%,4.88%,4.89%,4.83%,4.74%,4.56%,4.11%,3.36%
Sweden,0.45%,2.13%,2.81%,3.03%,3.32%,3.78%,4.20%,4.45%,4.56%,4.61%,4.55%,4.32%,3.84%,2.81%
