Country/area,Ages 5-14,Ages 15-19,Ages 20-24,Ages 25-29,Ages 30-34,Ages 35-39,Ages 40-44,Ages 45-49,Ages 50-54,Ages 55-59,Ages 60-64,Ages 65-69,Ages 70+,All ages
Austria,0.81%,3.07%,3.99%,4.15%,4.27%,4.52%,4.63%,4.47%,4.31%,4.16%,4.08%,4.06%,4.11%,3.66%
Belgium,0.91%,3.62%,4.78%,4.90%,5.14%,5.80%,6.08%,5.73%,5.35%,4.97%,4.69%,4.59%,4.48%,4.26%
Croatia,0.40%,2.14%,3.22%,3.36%,3.51%,3.84%,4.25%,4.73%,5.14%,5.52%,5.84%,6.14%,6.73%,4.09%
Cyprus,0.95%,3.44%,4.07%,4.20%,4.32%,4.49%,4.57%,4.48%,4.38%,4.29%,4.23%,4.19%,4.18%,3.66%
Czechia,0.37%,2.09%,3.17%,3.39%,3.57%,3.88%,4.25%,4.67%,5.03%,5.38%,5.64%,5.68%,5.89%,3.88%
Denmark,1.00%,3.41%,4.30%,4.48%,4.78%,5.43%,5.76%,5.56%,5.34%,5.13%,5.00%,4.96%,4.99%,4.23%
Estonia,0.45%,2.46%,3.66%,3.96%,4.30%,4.83%,5.42%,6.03%,6.56%,7.08%,7.53%,7.83%,8.51%,5.04%
Finland,1.10%,5.12%,7.19%,6.34%,5.78%,6.03%,6.13%,5.96%,5.73%,5.50%,5.31%,5.18%,5.02%,4.89%
France,1.02%,3.83%,4.89%,5.08%,5.46%,6.36%,6.77%,6.38%,5.95%,5.52%,5.24%,5.18%,5.32%,4.63%
Germany,0.96%,3.85%,5.19%,5.23%,5.26%,5.45%,5.48%,5.26%,5.02%,4.79%,4.69%,4.76%,4.97%,4.43%
Greece,1.34%,5.11%,6.51%,6.79%,6.87%,6.80%,6.74%,6.76%,6.78%,6.78%,6.80%,6.88%,7.19%,5.92%
Hungary,0.38%,1.93%,2.89%,3.09%,3.34%,3.82%,4.33%,4.80%,5.22%,5.63%,5.92%,5.96%,6.16%,3.96%
Ireland,1.00%,4.25%,5.84%,5.87%,5.80%,5.87%,5.92%,5.91%,5.89%,5.86%,5.79%,5.64%,5.42%,4.60%
Italy,0.86%,3.64%,4.63%,4.91%,5.11%,5.38%,5.52%,5.46%,5.38%,5.29%,5.25%,5.29%,5.59%,4.59%
Latvia,0.43%,2.30%,3.60%,4.29%,4.85%,5.38%,5.87%,6.26%,6.58%,6.87%,7.18%,7.48%,8.03%,5.13%
Lithuania,0.47%,2.64%,4.20%,4.67%,5.12%,5.75%,6.34%,6.80%,7.18%,7.54%,7.81%,7.88%,8.00%,5.45%
Luxembourg,0.92%,3.44%,4.35%,4.49%,4.60%,4.83%,4.91%,4.80%,4.68%,4.57%,4.53%,4.56%,4.76%,3.92%
Malta,0.97%,3.45%,4.11%,4.25%,4.33%,4.46%,4.52%,4.47%,4.39%,4.32%,4.28%,4.26%,4.31%,3.76%
Netherlands,1.00%,3.63%,4.65%,4.72%,4.83%,5.19%,5.35%,5.17%,4.97%,4.78%,4.64%,4.57%,4.62%,4.09%
Poland,0.26%,1.48%,2.36%,2.69%,2.95%,3.26%,3.51%,3.62%,3.65%,3.64%,3.60%,3.51%,3.42%,2.72%
Portugal,1.27%,4.70%,5.89%,5.98%,6.13%,6.55%,6.74%,6.56%,6.35%,6.14%,6.05%,6.13%,6.64%,5.49%
Romania,0.37%,1.93%,2.88%,3.09%,3.29%,3.64%,3.99%,4.33%,4.61%,4.90%,5.10%,5.12%,5.20%,3.50%
Slovakia,0.35%,1.88%,2.86%,3.13%,3.35%,3.67%,4.05%,4.46%,4.81%,5.14%,5.39%,5.46%,5.71%,3.58%
Slovenia,0.39%,2.22%,3.41%,3.61%,3.78%,4.09%,4.51%,5.08%,5.56%,5.99%,6.30%,6.44%,6.92%,4.34%
Spain,1.56%,4.66%,5.93%,6.03%,6.10%,6.43%,6.72%,6.91%,7.08%,7.25%,7.33%,7.24%,7.22%,5.83%
Sweden,0.84%,4.41%,6.39%,6.39%,6.39%,6.72%,6.85%,6.63%,6.36%,6.10%,5.88%,5.69%,5.51%,5.13%
