Country/area,Ages 5-14,Ages 15-19,Ages 20-24,Ages 25-29,Ages 30-34,Ages 35-39,Ages 40-44,Ages 45-49,Ages 50-54,Ages 55-59,Ages 60-64,Ages 65-69,Ages 70+,All ages
Austria,0.63%,3.34%,4.84%,5.42%,5.88%,6.42%,7.01%,7.78%,8.53%,9.27%,9.94%,10.43%,11.08%,3.87%
Belgium,0.62%,3.33%,4.84%,5.50%,5.99%,6.49%,7.06%,7.82%,8.55%,9.23%,9.83%,10.20%,10.77%,3.20%
Croatia,0.42%,2.43%,3.94%,4.69%,5.23%,5.59%,6.02%,6.50%,6.91%,7.29%,7.62%,7.88%,8.37%,5.35%
Cyprus,0.49%,3.02%,4.88%,5.44%,5.87%,6.38%,6.79%,7.05%,7.21%,7.31%,7.45%,7.65%,8.23%,4.47%
Czechia,1.43%,6.10%,7.66%,7.99%,8.45%,9.27%,9.81%,9.89%,9.89%,9.86%,9.70%,9.18%,8.21%,5.56%
Denmark,0.49%,2.37%,3.51%,4.18%,4.92%,5.90%,6.67%,7.17%,7.66%,8.15%,8.52%,8.56%,8.15%,4.12%
Estonia,0.41%,2.23%,3.49%,4.02%,4.56%,5.30%,5.90%,6.29%,6.67%,7.04%,7.36%,7.52%,7.47%,3.75%
Finland,0.58%,3.70%,5.77%,5.76%,5.87%,6.46%,6.89%,7.03%,7.11%,7.18%,7.24%,7.21%,7.16%,4.79%
France,0.45%,2.41%,3.49%,3.63%,3.72%,3.92%,4.25%,4.74%,5.20%,5.62%,6.02%,6.40%,7.06%,3.06%
Germany,0.44%,2.48%,3.66%,3.80%,3.91%,4.14%,4.50%,5.02%,5.47%,5.89%,6.24%,6.47%,6.91%,3.22%
Greece,0.31%,1.47%,2.06%,2.44%,2.88%,3.39%,4.01%,4.69%,5.33%,5.92%,6.42%,6.69%,6.74%,3.60%
Hungary,0.40%,1.91%,2.91%,3.24%,3.50%,3.78%,4.13%,4.54%,4.87%,5.18%,5.47%,5.69%,6.17%,3.77%
Ireland,0.35%,1.50%,2.09%,2.44%,2.86%,3.40%,4.03%,4.64%,5.14%,5.61%,5.99%,6.11%,5.98%,3.23%
Italy,0.39%,2.03%,3.06%,3.31%,3.53%,3.84%,4.19%,4.55%,4.81%,5.07%,5.27%,5.46%,5.89%,3.55%
Latvia,0.94%,4.11%,4.92%,5.03%,5.33%,5.95%,6.35%,6.28%,6.21%,6.20%,6.19%,6.12%,5.62%,4.22%
Lithuania,1.18%,4.73%,3.94%,3.79%,3.93%,4.53%,5.15%,5.61%,5.93%,6.19%,6.28%,6.08%,5.56%,3.84%
Luxembourg,0.40%,2.70%,4.37%,4.37%,4.49%,5.02%,5.47%,5.77%,6.03%,6.28%,6.32%,6.01%,5.52%,3.97%
Malta,0.46%,2.41%,3.55%,3.65%,3.82%,4.26%,4.59%,4.78%,4.96%,5.14%,5.28%,5.29%,5.41%,4.01%
Netherlands,0.49%,2.49%,3.24%,3.25%,3.41%,3.86%,4.38%,4.83%,5.16%,5.42%,5.54%,5.41%,5.08%,3.16%
Poland,0.89%,3.78%,4.62%,4.72%,4.78%,5.65%,5.83%,5.78%,5.70%,5.64%,5.48%,5.19%,4.72%,4.69%
Portugal,0.44%,2.77%,4.28%,4.15%,4.09%,4.39%,4.66%,4.86%,5.02%,5.16%,5.18%,5.00%,4.70%,3.15%
Romania,0.49%,2.44%,3.25%,3.32%,3.53%,4.05%,4.58%,4.93%,5.15%,5.30%,5.36%,5.16%,4.64%,2.83%
Slovakia,0.42%,2.22%,3.31%,3.41%,3.55%,3.82%,4.31%,4.31%,4.74%,4.64%,4.82%,4.62%,4.36%,3.09%
Slovenia,0.39%,2.11%,3.04%,3.16%,3.34%,3.68%,4.04%,4.32%,4.48%,4.59%,4.66%,4.58%,4.29%,2.33%
Spain,0.50%,2.58%,3.58%,3.50%,3.60%,4.08%,4.50%,4.68%,4.73%,4.71%,4.65%,4.49%,4.08%,3.15%
Sweden,0.37%,1.80%,2.46%,2.74%,3.08%,3.55%,3.99%,4.25%,4.39%,4.46%,4.43%,4.23%,3.79%,2.61%
