Country/area,Ages 5-14,Ages 15-19,Ages 20-24,Ages 25-29,Ages 30-34,Ages 35-39,Ages 40-44,Ages 45-49,Ages 50-54,Ages 55-59,Ages 60-64,Ages 65-69,Ages 70+,All ages
Austria,0.45%,2.46%,3.66%,3.97%,4.31%,4.83%,5.40%,6.01%,6.54%,7.06%,7.51%,7.83%,8.53%,5.04%
Belgium,0.43%,2.31%,3.61%,4.29%,4.86%,5.39%,5.88%,6.28%,6.59%,6.88%,7.20%,7.49%,8.05%,5.15%
Croatia,0.46%,2.64%,4.18%,4.66%,5.12%,5.73%,6.32%,6.79%,7.17%,7.55%,7.81%,7.88%,8.00%,5.46%
Cyprus,1.62%,4.73%,5.96%,6.08%,6.17%,6.49%,6.77%,6.96%,7.13%,7.30%,7.38%,7.29%,7.26%,5.89%
Czechia,1.35%,5.15%,6.55%,6.85%,6.95%,6.93%,6.90%,6.92%,6.94%,6.94%,6.95%,6.99%,7.24%,6.02%
Denmark,0.39%,2.21%,3.39%,3.60%,3.78%,4.07%,4.49%,5.05%,5.54%,5.98%,6.28%,6.41%,6.91%,4.34%
Estonia,1.26%,4.64%,5.82%,5.94%,6.10%,6.56%,6.77%,6.61%,6.43%,6.23%,6.15%,6.23%,6.76%,5.55%
Finland,0.41%,2.14%,3.21%,3.36%,3.51%,3.84%,4.25%,4.73%,5.14%,5.52%,5.84%,6.13%,6.73%,4.10%
France,0.38%,1.93%,2.88%,3.09%,3.34%,3.82%,4.32%,4.79%,5.20%,5.62%,5.91%,5.95%,6.15%,3.97%
Germany,0.37%,2.09%,3.16%,3.39%,3.58%,3.88%,4.25%,4.67%,5.02%,5.36%,5.61%,5.66%,5.88%,3.88%
Greece,0.35%,1.89%,2.87%,3.14%,3.36%,3.67%,4.05%,4.46%,4.80%,5.13%,5.38%,5.44%,5.70%,3.59%
Hungary,0.87%,3.67%,4.65%,4.94%,5.14%,5.41%,5.54%,5.48%,5.39%,5.30%,5.26%,5.30%,5.59%,4.61%
Ireland,0.85%,4.40%,6.36%,6.38%,6.39%,6.70%,6.81%,6.61%,6.35%,6.10%,5.87%,5.69%,5.51%,5.11%
Italy,1.00%,4.33%,5.97%,5.94%,5.87%,5.93%,5.97%,5.94%,5.92%,5.89%,5.82%,5.66%,5.44%,4.65%
Latvia,1.03%,3.84%,4.89%,5.09%,5.46%,6.33%,6.73%,6.36%,5.96%,5.54%,5.27%,5.20%,5.32%,4.63%
Lithuania,0.38%,1.93%,2.88%,3.10%,3.30%,3.64%,3.99%,4.33%,4.60%,4.89%,5.09%,5.12%,5.21%,3.51%
Luxembourg,1.11%,5.11%,7.11%,6.34%,5.78%,6.02%,6.11%,5.94%,5.72%,5.49%,5.30%,5.17%,5.00%,4.88%
Malta,0.99%,3.43%,4.32%,4.50%,4.78%,5.42%,5.74%,5.56%,5.35%,5.15%,5.03%,4.98%,4.99%,4.23%
Netherlands,0.95%,3.82%,5.12%,5.18%,5.21%,5.43%,5.47%,5.25%,5.02%,4.80%,4.71%,4.79%,4.98%,4.41%
Poland,0.92%,3.44%,4.36%,4.48%,4.60%,4.82%,4.90%,4.80%,4.68%,4.57%,4.54%,4.57%,4.77%,3.93%
Portugal,1.00%,3.65%,4.65%,4.74%,4.87%,5.24%,5.40%,5.21%,5.01%,4.81%,4.67%,4.60%,4.64%,4.12%
Romania,0.91%,3.63%,4.76%,4.89%,5.14%,5.78%,6.05%,5.72%,5.35%,4.99%,4.72%,4.61%,4.49%,4.26%
Slovakia,0.97%,3.49%,4.15%,4.30%,4.36%,4.49%,4.55%,4.49%,4.42%,4.34%,4.29%,4.28%,4.33%,3.78%
Slovenia,0.95%,3.48%,4.12%,4.24%,4.36%,4.53%,4.60%,4.52%,4.41%,4.31%,4.25%,4.21%,4.19%,3.70%
Spain,0.82%,3.06%,3.98%,4.16%,4.29%,4.52%,4.63%,4.48%,4.32%,4.17%,4.10%,4.07%,4.11%,3.66%
Sweden,0.26%,1.49%,2.38%,2.72%,2.99%,3.29%,3.55%,3.67%,3.70%,3.71%,3.67%,3.57%,3.46%,2.77%
